Resolution,Frequency,Analog Write Value,Change in Left Encoder,Change in Right Encoder
8,488.279999,64.000000,-444,-432
8,976.559998,64.000000,-4568,-4710
8,1464.839966,64.000000,-8617,-8826
8,1953.119995,64.000000,-11590,-12012
8,488.279999,128.000000,-14155,-14836
8,976.559998,128.000000,-21764,-22283
8,1464.839966,128.000000,-29771,-30215
8,1953.119995,128.000000,-37331,-37496
8,488.279999,192.000000,-44575,-44539
8,976.559998,192.000000,-53926,-53667
8,1464.839966,192.000000,-63365,-63046
8,1953.119995,192.000000,-72624,-72300
9,488.279999,128.000000,-81509,-81166
9,976.559998,128.000000,-87001,-86608
9,1464.839966,128.000000,-91144,-90549
9,1953.119995,128.000000,-94148,-93561
9,488.279999,256.000000,-96673,-96259
9,976.559998,256.000000,-104293,-103616
9,1464.839966,256.000000,-112348,-111460
9,1953.119995,256.000000,-119963,-118698
9,488.279999,384.000000,-127319,-125648
9,976.559998,384.000000,-136712,-134641
9,1464.839966,384.000000,-146162,-143962
9,1953.119995,384.000000,-155480,-153157
10= 488.279999,256.000000,-164381,-162050
10= 976.559998,256.000000,-170123,-167394
10= 1464.839966,256.000000,-174386,-171341
10= 1953.119995,256.000000,-177540,-174332
10= 488.279999,512.000000,-180203,-177006
10= 976.559998,512.000000,-187962,-184340
10= 1464.839966,512.000000,-196063,-192130
10= 1953.119995,512.000000,-203794,-199414
10= 488.279999,768.000000,-211189,-206385
10= 976.559998,768.000000,-220697,-215367
10= 1464.839966,768.000000,-230219,-224676
10= 1953.119995,768.000000,-239571,-233882
11= 488.279999,512.000000,-248475,-242783
11= 976.559998,512.000000,-254206,-248195
11= 1464.839966,512.000000,-258426,-252215
11= 1953.119995,512.000000,-261566,-255315
11= 488.279999,1024.000000,-264192,-257986
11= 976.559998,1024.000000,-271956,-265286
11= 1464.839966,1024.000000,-280022,-273041
11= 1953.119995,1024.000000,-287690,-280216
11= 488.279999,1536.000000,-295043,-287213
11= 976.559998,1536.000000,-304421,-296207
11= 1464.839966,1536.000000,-313841,-305404
11= 1953.119995,1536.000000,-323143,-314552
12= 488.279999,1024.000000,-331996,-323273
12= 976.559998,1024.000000,-337723,-328585
12= 1464.839966,1024.000000,-342009,-332521
12= 1953.119995,1024.000000,-345205,-335388
12= 488.279999,2048.000000,-347857,-338020
12= 976.559998,2048.000000,-355637,-345168
12= 1464.839966,2048.000000,-363736,-352891
12= 1953.119995,2048.000000,-371457,-360035
12= 488.279999,3072.000000,-378825,-367030
12= 976.559998,3072.000000,-388252,-375966
12= 1464.839966,3072.000000,-397669,-385189
12= 1953.119995,3072.000000,-406953,-394341
13= 488.279999,2048.000000,-415783,-403246
13= 976.559998,2048.000000,-421498,-408517
13= 1464.839966,2048.000000,-425754,-412510
13= 1953.119995,2048.000000,-428906,-415572
13= 488.279999,4096.000000,-431597,-418194
13= 976.559998,4096.000000,-439333,-425539
13= 1464.839966,4096.000000,-447431,-433033
13= 1953.119995,4096.000000,-455094,-440177
13= 488.279999,6144.000000,-462468,-447111
13= 976.559998,6144.000000,-471867,-456051
13= 1464.839966,6144.000000,-481361,-465298
13= 1953.119995,6144.000000,-490687,-474416
14= 488.279999,4096.000000,-499547,-483161
14= 976.559998,4096.000000,-505285,-488441
14= 1464.839966,4096.000000,-509521,-492346
14= 1953.119995,4096.000000,-512681,-495266
14= 488.279999,8192.000000,-515385,-497923
14= 976.559998,8192.000000,-523221,-505173
14= 1464.839966,8192.000000,-531341,-512661
14= 1953.119995,8192.000000,-539038,-519848
14= 488.279999,12288.000000,-546371,-526738
14= 976.559998,12288.000000,-555799,-535675
14= 1464.839966,12288.000000,-565278,-545043
14= 1953.119995,12288.000000,-574574,-554258
15= 488.279999,8192.000000,-583443,-563122
15= 976.559998,8192.000000,-589163,-568412
15= 1464.839966,8192.000000,-593419,-572381
15= 1953.119995,8192.000000,-596610,-575458
15= 488.279999,16384.000000,-599229,-578188
15= 976.559998,16384.000000,-606961,-585512
15= 1464.839966,16384.000000,-615036,-593237
15= 1953.119995,16384.000000,-622612,-600477
15= 488.279999,24576.000000,-629878,-607543
15= 976.559998,24576.000000,-639274,-616521
15= 1464.839966,24576.000000,-648664,-625867
15= 1953.119995,24576.000000,-657883,-635112
16= 488.279999,16384.000000,-666643,-643913
16= 976.559998,16384.000000,-672233,-649176
16= 1464.839966,16384.000000,-676403,-653121
16= 1953.119995,16384.000000,-679488,-656140
16= 488.279999,32768.000000,-682135,-658839
16= 976.559998,32768.000000,-689717,-666062
16= 1464.839966,32768.000000,-697797,-673826
16= 1953.119995,32768.000000,-705415,-681026
16= 488.279999,49152.000000,-712674,-688037
16= 976.559998,49152.000000,-722075,-696902
16= 1464.839966,49152.000000,-731556,-706199
16= 1953.119995,49152.000000,-740867,-715364
